#Onset,Duration,Annotation
2002-02-05T01:12:23.0000000,30,???
2002-02-05T01:12:53.0000000,30,???
2002-02-05T01:13:23.0000000,30,???
2002-02-05T01:13:53.0000000,30,???
2002-02-05T01:14:23.0000000,30,???
2002-02-05T01:14:53.0000000,30,???
2002-02-05T01:15:23.0000000,30,???
2002-02-05T01:15:53.0000000,30,???
2002-02-05T01:16:23.0000000,30,???
2002-02-05T01:16:53.0000000,30,???
2002-02-05T01:17:23.0000000,30,???
2002-02-05T01:17:53.0000000,30,???
2002-02-05T01:18:23.0000000,30,???
2002-02-05T01:18:53.0000000,30,???
2002-02-05T01:19:23.0000000,30,???
2002-02-05T01:19:53.0000000,30,???
2002-02-05T01:20:23.0000000,30,???
2002-02-05T01:20:53.0000000,30,???
2002-02-05T01:21:23.0000000,30,???
2002-02-05T01:21:53.0000000,30,???
2002-02-05T01:22:23.0000000,30,???
2002-02-05T01:22:53.0000000,30,???
2002-02-05T01:23:23.0000000,30,???
2002-02-05T01:23:53.0000000,30,???
2002-02-05T01:24:23.0000000,30,???
2002-02-05T01:24:53.0000000,30,???
2002-02-05T01:25:23.0000000,30,???
2002-02-05T01:25:53.0000000,30,???
2002-02-05T01:26:23.0000000,30,???
2002-02-05T01:26:53.0000000,30,???
2002-02-05T01:27:23.0000000,30,???
2002-02-05T01:27:53.0000000,30,???
2002-02-05T01:28:23.0000000,30,???
2002-02-05T01:28:53.0000000,30,???
2002-02-05T01:29:23.0000000,30,???
2002-02-05T01:29:53.0000000,30,???
2002-02-05T01:30:23.0000000,30,???
2002-02-05T01:30:53.0000000,30,???
2002-02-05T01:31:23.0000000,30,???
2002-02-05T01:31:53.0000000,30,???
2002-02-05T01:32:23.0000000,30,???
2002-02-05T01:32:53.0000000,30,???
2002-02-05T01:33:23.0000000,30,???
2002-02-05T01:33:53.0000000,30,???
2002-02-05T01:34:23.0000000,30,???
2002-02-05T01:34:53.0000000,30,???
2002-02-05T01:35:23.0000000,30,???
2002-02-05T01:35:53.0000000,30,???
2002-02-05T01:36:23.0000000,30,???
2002-02-05T01:36:53.0000000,30,???
2002-02-05T01:37:23.0000000,30,???
